idnum,uniq_id,cluster,upm,wt,wave,pais,nationality,estratopri,prov,municipio,estratosec,tamano,ur,fecha,q1,q2,a4,vb1,inf1,vb2,vb3n,vb10,vb11,pol1,vb20,q10new
1004,MEX18_1004,522,112,1,2018,México,Mexicano,Centro Occidente,Jalisco,Tlaquepaque,"Grande (más de 100,000)",Ciudad grande,Urbano,17/02/2019,Hombre,55,"Delincuencia, crimen",Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Nada,Votaría por el candidato o partido del actual presidente/administración,"Entre $4,301 - $4,800"
1604,MEX18_1604,752,64,1,2018,México,Mexicano,Centro Occidente,Michoacán,Morelia,"Grande (más de 100,000)",Ciudad grande,Urbano,04/02/2019,Mujer,27,"Delincuencia, crimen",Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Algo,Votaría por el candidato o partido del actual presidente/administración,"Entre $3,401 - $3,800"
906,MEX18_0906,481,8,1,2018,México,Mexicano,Centro Occidente,Jalisco,Atotonilco El Alto,"Mediana (entre 25,000 y 100,000)",Ciudad mediana,Rural,18/02/2019,Hombre,60,Seguridad (falta de),Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Poco,Votaría por el candidato o partido del actual presidente/administración,"Entre $620 - $1,200"
1097,MEX18_1097,772,125,1,2018,México,Mexicano,Centro Occidente,Michoacán,Zamora,"Grande (más de 100,000)",Área rural,Urbano,08/02/2019,Mujer,20,"Delincuencia, crimen",Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Poco,Votaría por el candidato o partido del actual presidente/administración,"Entre $620 - $1,200"
1588,MEX18_1588,112,119,1,2018,México,Mexicano,Centro Occidente,Colima,Villa de Alvarez,"Grande (más de 100,000)",Ciudad grande,Urbano,09/02/2019,Hombre,22,Pobreza,No,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Nada,Votaría por el candidato o partido del actual presidente/administración,"Entre $4,801 - $5,400"
1280,MEX18_1280,622,58,1,2018,México,Mexicano,Centro,Estado de México,Metepec,"Grande (más de 100,000)",Ciudad grande,Urbano,01/02/2019,Hombre,37,"Economía, problemas con, crisis de",Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Poco,Votaría por el candidato o partido del actual presidente/administración,"Entre $3,801 - $4,300"
367,MEX18_0367,101,61,1,2018,México,Mexicano,Norte,Coahuila,Monclova,"Grande (más de 100,000)",Ciudad grande,Urbano,24/02/2019,Mujer,39,"Economía, problemas con, crisis de",Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Poco,Votaría por el candidato o partido del actual presidente/administración,"Entre $1,601 - $2,000"
1467,MEX18_1467,851,63,1,2018,México,Mexicano,Norte,Nuevo León,Monterrey,"Grande (más de 100,000)",Ciudad grande,Urbano,28/02/2019,Mujer,67,Otro,Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Nada,Votaría por el candidato o partido del actual presidente/administración,"Entre $2,401 - $2,800"
1044,MEX18_1044,1151,18,1,2018,México,Mexicano,Norte,Tamaulipas,Ciudad Victoria,"Grande (más de 100,000)",Ciudad grande,Urbano,01/03/2019,Mujer,50,Seguridad (falta de),Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Nada,Votaría por el candidato o partido del actual presidente/administración,"Entre $5,401 - $6,400"
372,MEX18_0372,101,61,1,2018,México,Mexicano,Norte,Coahuila,Monclova,"Grande (más de 100,000)",Ciudad grande,Urbano,24/02/2019,Mujer,35,Seguridad (falta de),Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Poco,Votaría por algún candidato o partido diferente del actual gobierno,"Entre $7,601 - $9,300"
915,MEX18_0915,1162,121,1,2018,México,Mexicano,Norte,Tamaulipas,Villagrán,"Grande (más de 100,000)",Ciudad grande,Urbano,02/03/2019,Hombre,38,"Delincuencia, crimen",Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Poco,No responde,"Entre $2,001 - $2,400"
273,MEX18_0273,102,61,1,2018,México,Mexicano,Norte,Coahuila,Monclova,"Grande (más de 100,000)",Ciudad grande,Urbano,24/02/2019,Hombre,25,Corrupción,Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,Sí,MORENA / Movimiento Regeneración Nacional,Mucho,Votaría por el candidato o partido del actual presidente/administración,"Más de $13,000"
310,MEX18_0310,871,100,1,2018,México,Mexicano,Norte,Nuevo León,Santa Catarina,"Grande (más de 100,000)",Ciudad grande,Urbano,25/02/2019,Mujer,65,Seguridad (falta de),Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Poco,Votaría por el candidato o partido del actual presidente/administración,"Entre $6,401 - $7,600"
861,MEX18_0861,1161,121,1,2018,México,Mexicano,Norte,Tamaulipas,Villagrán,"Grande (más de 100,000)",Ciudad grande,Urbano,02/03/2019,Mujer,54,Corrupción,No,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Poco,Votaría por el candidato o partido del actual presidente/administración,No responde
365,MEX18_0365,841,62,1,2018,México,Mexicano,Norte,Nuevo León,Monterrey,"Grande (más de 100,000)",Ciudad grande,Urbano,25/02/2019,Hombre,64,Narcotráfico,Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Nada,Votaría por el candidato o partido del actual presidente/administración,"Entre $7,601 - $9,300"
772,MEX18_0772,701,113,1,2018,México,Mexicano,Centro,Estado de México,Toluca,"Grande (más de 100,000)",Ciudad grande,Urbano,01/02/2019,Hombre,72,Corrupción,Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,Sí,MORENA / Movimiento Regeneración Nacional,Mucho,Votaría por el candidato o partido del actual presidente/administración,"Entre $6,401 - $7,600"
1564,MEX18_1564,761,65,1,2018,México,Mexicano,Centro Occidente,Michoacán,Morelia,"Grande (más de 100,000)",Ciudad grande,Urbano,05/02/2019,Hombre,23,Otro,Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Nada,Iría a votar pero dejaría la boleta en blanco o la anularía,"Más de $13,000"
48,MEX18_0048,111,119,1,2018,México,Mexicano,Centro Occidente,Colima,Villa de Alvarez,"Grande (más de 100,000)",Ciudad grande,Urbano,09/02/2019,Hombre,31,Corrupción,Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,Sí,MORENA / Movimiento Regeneración Nacional,Algo,Iría a votar pero dejaría la boleta en blanco o la anularía,"Entre $6,401 - $7,600"
323,MEX18_0323,781,129,1,2018,México,Mexicano,Centro Occidente,Michoacán,Zitácuaro,"Grande (más de 100,000)",Ciudad grande,Rural,03/02/2019,Mujer,21,"Delincuencia, crimen",Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Poco,Iría a votar pero dejaría la boleta en blanco o la anularía,"Entre $9,301 - $13,000"
1078,MEX18_1078,552,127,1,2018,México,Mexicano,Centro Occidente,Jalisco,Zapopan,"Grande (más de 100,000)",Ciudad grande,Urbano,13/02/2019,Hombre,55,"Economía, problemas con, crisis de",Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Nada,Votaría por el candidato o partido del actual presidente/administración,"Entre $3,801 - $4,300"
1250,MEX18_1250,722,130,1,2018,México,Mexicano,Centro,Estado de México,Zumpango,"Grande (más de 100,000)",Capital Nacional (área metropolitana),Urbano,01/02/2019,Hombre,23,Corrupción,Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Algo,Votaría por el candidato o partido del actual presidente/administración,"Más de $13,000"
1142,MEX18_1142,401,28,1,2018,México,Mexicano,Sur,Guerrero,Eduardo Neri,"Mediana (entre 25,000 y 100,000)",Ciudad pequeña,Urbano,28/02/2019,Mujer,43,Seguridad (falta de),Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Nada,Votaría por el candidato o partido del actual presidente/administración,Menos de $620
1162,MEX18_1162,1222,116,1,2018,México,Mexicano,Sur,Veracruz,Uxpanapa,"Mediana (entre 25,000 y 100,000)",Ciudad mediana,Rural,11/02/2019,Hombre,29,Seguridad (falta de),Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Algo,Votaría por el candidato o partido del actual presidente/administración,"Entre $3,801 - $4,300"
663,MEX18_0663,902,75,1,2018,México,Mexicano,Sur,Oaxaca,Oaxaca de Juárez,"Grande (más de 100,000)",Ciudad grande,Urbano,13/02/2019,Mujer,48,Seguridad (falta de),Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,Sí,MORENA / Movimiento Regeneración Nacional,Poco,Votaría por el candidato o partido del actual presidente/administración,"Entre $3,401 - $3,800"
697,MEX18_0697,682,110,1,2018,México,Mexicano,Centro,Estado de México,Tlalnepantla de Baz,"Grande (más de 100,000)",Capital Nacional (área metropolitana),Urbano,30/01/2019,Hombre,78,"Delincuencia, crimen",Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Nada,Votaría por el candidato o partido del actual presidente/administración,No sabe
1252,MEX18_1252,922,12,1,2018,México,Mexicano,Centro,Puebla,Caltepec,"Pequeña (menos de 25,000)",Ciudad pequeña,Urbano,16/02/2019,Hombre,30,Corrupción,Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,Sí,Movimiento Ciudadano,Algo,Votaría por el candidato o partido del actual presidente/administración,"Entre $1,601 - $2,000"
432,MEX18_0432,811,124,1,2018,México,Mexicano,Centro,Morelos,Yautepec,"Mediana (entre 25,000 y 100,000)",Ciudad mediana,Urbano,23/02/2019,Mujer,42,Seguridad (falta de),Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Nada,Iría a votar pero dejaría la boleta en blanco o la anularía,No responde
860,MEX18_0860,432,59,1,2018,México,Mexicano,Sur,Guerrero,Metlatónoc,"Pequeña (menos de 25,000)",Área rural,Rural,02/03/2019,Hombre,68,"Delincuencia, crimen",Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,Sí,PRI / Partido Revolucionario Institucional,Algo,Votaría por el candidato o partido del actual presidente/administración,Menos de $620
405,MEX18_0405,882,6,1,2018,México,Mexicano,Sur,Oaxaca,Asunción Nochixtlán,"Pequeña (menos de 25,000)",Ciudad pequeña,Urbano,14/02/2019,Hombre,28,"Delincuencia, crimen",Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Poco,Votaría por el candidato o partido del actual presidente/administración,"Entre $2,001 - $2,400"
101,MEX18_0101,921,12,1,2018,México,Mexicano,Centro,Puebla,Caltepec,"Pequeña (menos de 25,000)",Ciudad pequeña,Urbano,16/02/2019,Hombre,82,Corrupción,Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,Sí,MORENA / Movimiento Regeneración Nacional,Algo,Iría a votar pero dejaría la boleta en blanco o la anularía,"Entre $3,401 - $3,800"
630,MEX18_0630,422,52,1,2018,México,Mexicano,Sur,Guerrero,Leonardo Bravo,"Pequeña (menos de 25,000)",Ciudad pequeña,Urbano,01/03/2019,Hombre,24,"Economía, problemas con, crisis de",Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Nada,No sabe,Menos de $620
693,MEX18_0693,1221,116,1,2018,México,Mexicano,Sur,Veracruz,Uxpanapa,"Mediana (entre 25,000 y 100,000)",Ciudad mediana,Rural,11/02/2019,Mujer,75,"Economía, problemas con, crisis de",Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Nada,Votaría por el candidato o partido del actual presidente/administración,Ningún ingreso
1035,MEX18_1035,412,38,1,2018,México,Mexicano,Sur,Guerrero,Iguala de la Independencia,"Grande (más de 100,000)",Ciudad mediana,Urbano,03/03/2019,Hombre,18,Seguridad (falta de),No,No,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Mucho,No votaría,"Entre $3,401 - $3,800"
358,MEX18_0358,1242,122,1,2018,México,Mexicano,Sur,Veracruz,Xalapa,"Grande (más de 100,000)",Ciudad grande,Urbano,07/02/2019,Mujer,25,"Delincuencia, crimen",Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Algo,No votaría,"Entre $2,801 - $3,400"
553,MEX18_0553,1271,87,1,2018,México,Mexicano,Sur,Veracruz,Playa Vicente,"Mediana (entre 25,000 y 100,000)",Ciudad mediana,Urbano,10/02/2019,Hombre,59,"Economía, problemas con, crisis de",Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Nada,Votaría por el candidato o partido del actual presidente/administración,"Entre $9,301 - $13,000"
617,MEX18_0617,1241,122,1,2018,México,Mexicano,Sur,Veracruz,Xalapa,"Grande (más de 100,000)",Ciudad grande,Urbano,06/02/2019,Mujer,53,Seguridad (falta de),Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Algo,Votaría por el candidato o partido del actual presidente/administración,No sabe
71,MEX18_0071,691,111,1,2018,México,Mexicano,Centro,Estado de México,Tlalnepantla de Baz,"Grande (más de 100,000)",Capital Nacional (área metropolitana),Urbano,31/01/2019,Mujer,23,Seguridad (falta de),Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Mucho,Votaría por el candidato o partido del actual presidente/administración,"Más de $13,000"
1540,MEX18_1540,802,123,1,2018,México,Mexicano,Centro,Morelos,Yautepec,"Mediana (entre 25,000 y 100,000)",Ciudad mediana,Urbano,22/02/2019,Hombre,39,"Delincuencia, crimen",Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Poco,Votaría por el candidato o partido del actual presidente/administración,"Entre $5,401 - $6,400"
1001,MEX18_1001,1252,78,1,2018,México,Mexicano,Sur,Veracruz,Orizaba,"Grande (más de 100,000)",Ciudad grande,Urbano,09/02/2019,Hombre,32,Corrupción,Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,Sí,MORENA / Movimiento Regeneración Nacional,Mucho,Votaría por el candidato o partido del actual presidente/administración,"Entre $9,301 - $13,000"
422,MEX18_0422,422,52,1,2018,México,Mexicano,Sur,Guerrero,Leonardo Bravo,"Pequeña (menos de 25,000)",Ciudad pequeña,Urbano,01/03/2019,Hombre,48,Desempleo/falta de empleo,Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,Sí,PRI / Partido Revolucionario Institucional,Mucho,Votaría por el candidato o partido del actual presidente/administración,"Entre $620 - $1,200"
1447,MEX18_1447,802,123,1,2018,México,Mexicano,Centro,Morelos,Yautepec,"Mediana (entre 25,000 y 100,000)",Ciudad mediana,Urbano,22/02/2019,Mujer,38,"Delincuencia, crimen",Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Algo,Votaría por el candidato o partido del actual presidente/administración,"Entre $620 - $1,200"
650,MEX18_0650,421,52,1,2018,México,Mexicano,Sur,Guerrero,Leonardo Bravo,"Pequeña (menos de 25,000)",Ciudad pequeña,Urbano,01/03/2019,Mujer,48,Seguridad (falta de),Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,Sí,PRI / Partido Revolucionario Institucional,Algo,No sabe,"Entre $7,601 - $9,300"
1083,MEX18_1083,402,28,1,2018,México,Mexicano,Sur,Guerrero,Eduardo Neri,"Mediana (entre 25,000 y 100,000)",Ciudad pequeña,Urbano,28/02/2019,Hombre,42,"Economía, problemas con, crisis de",Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Nada,Votaría por algún candidato o partido diferente del actual gobierno,"Entre $7,601 - $9,300"
1542,MEX18_1542,402,28,1,2018,México,Mexicano,Sur,Guerrero,Eduardo Neri,"Mediana (entre 25,000 y 100,000)",Ciudad pequeña,Urbano,28/02/2019,Hombre,50,Seguridad (falta de),Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Algo,No sabe,Ningún ingreso
1226,MEX18_1226,791,48,1,2018,México,Mexicano,Centro,Morelos,Jiutepec,"Grande (más de 100,000)",Ciudad mediana,Urbano,21/02/2019,Mujer,32,Seguridad (falta de),Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Algo,Votaría por el candidato o partido del actual presidente/administración,No responde
1420,MEX18_1420,692,111,1,2018,México,Mexicano,Centro,Estado de México,Tlalnepantla de Baz,"Grande (más de 100,000)",Capital Nacional (área metropolitana),Urbano,31/01/2019,Mujer,86,Seguridad (falta de),Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,Sí,MORENA / Movimiento Regeneración Nacional,Mucho,Votaría por el candidato o partido del actual presidente/administración,No sabe
1592,MEX18_1592,881,6,1,2018,México,Mexicano,Sur,Oaxaca,Asunción Nochixtlán,"Pequeña (menos de 25,000)",Área rural,Urbano,14/02/2019,Mujer,33,"Economía, problemas con, crisis de",Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Nada,Votaría por el candidato o partido del actual presidente/administración,Menos de $620
280,MEX18_0280,281,3,1,2018,México,Mexicano,Centro,Distrito Federal,Alvaro Obregón,"Grande (más de 100,000)",Capital Nacional (área metropolitana),Urbano,02/02/2019,Mujer,23,"Delincuencia, crimen",Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Poco,No sabe,"Entre $620 - $1,200"
892,MEX18_0892,1251,78,1,2018,México,Mexicano,Sur,Veracruz,Orizaba,"Grande (más de 100,000)",Ciudad grande,Urbano,08/02/2019,Mujer,60,"Delincuencia, crimen",Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Nada,Votaría por el candidato o partido del actual presidente/administración,No responde
922,MEX18_0922,1261,82,1,2018,México,Mexicano,Sur,Veracruz,Papantla,"Grande (más de 100,000)",Ciudad mediana,Rural,05/02/2019,Hombre,50,"Economía, problemas con, crisis de",Sí,No,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Nada,Votaría por el candidato o partido del actual presidente/administración,"Entre $1,601 - $2,000"
871,MEX18_0871,912,96,1,2018,México,Mexicano,Sur,Oaxaca,San Lucas Ojitlán,"Pequeña (menos de 25,000)",Ciudad pequeña,Rural,12/02/2019,Hombre,33,Seguridad (falta de),Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Poco,Votaría por el candidato o partido del actual presidente/administración,Menos de $620
274,MEX18_0274,1192,10,1,2018,México,Mexicano,Sur,Veracruz,Boca del Río,"Grande (más de 100,000)",Ciudad grande,Urbano,08/02/2019,Hombre,68,"Delincuencia, crimen",No,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Poco,Votaría por el candidato o partido del actual presidente/administración,"Entre $7,601 - $9,300"
689,MEX18_0689,1191,10,1,2018,México,Mexicano,Sur,Veracruz,Boca del Río,"Grande (más de 100,000)",Ciudad grande,Urbano,07/02/2019,Mujer,61,Secuestro,Sí,Sí,Sí votó,Andrés Manuel López Obrador Morena Juntos Haremos Historia,No,No Aplica,Poco,Votaría por el candidato o partido del actual presidente/administración,No sabe
