Grado,Apellido Paterno,Apellido Materno,Nombre,Nivel,Institucion de Adscripcion,Area del Conocimiento
DRA.,CANO,RUIZ,AMANDA,C,BENEMERITA ECUELA NORMAL VERACRUZANA ENRIQUE C. REBSAMEN,Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DRA.,AGUILAR,DAVIS,VIRGINIA,C,BENEMERITA ECUELA NORMAL VERACRUZANA ENRIQUE C. REBSAMEN,Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DR.,GNECCO,MEDINA,DINO HERNAN,3,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA.,REYES,LUNA,ROSALINA MARIA DE LOURDES,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR.,GUTIERREZ,PEREZ,JAIME RENE,2,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR.,SANDOVAL,RAMIREZ,JESUS,3,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR.,GONZALEZ,VERGARA,ENRIQUE,2,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR.,DAVILA,JIMNEZ,MARTIN MARINO,2,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR.,EGUIBAR,CUENCA,JOSE RAMON,3,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA.,QUINTERO,CORTES,LETICIA MARIA GUADALUPE,3,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA.,HERRERA,CAMACHO,IRMA PILAR,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA.,ARROYO,CARRANZA,SANDRA LUZ MARIBEL,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR.,BRAMBILA,COLOMBRES,EDUARDO MIGUEL,2,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR.,FLORES,SEGURA,HENOC,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR.,ORTIZ,MARQUEZ,JOSE AURELIO,2,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR.,MANJARREZ,LOPEZ,ELIAS,2,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA.,SANCHEZ,ALONSO,MARIA PATRICIA GEORGINA,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR.,MOYAHO,MARTINEZ,ALEJANDRO CLEMENTE,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR.,JUAREZ,POSADAS,JORGE RIGOBERTO,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR.,GIRON,ORTIZ,JORGE ALBERTO,3,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR.,TERAN,VAZQUEZ,JOEL LUIS,2,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR.,SCIOR,sin apellido Materno,THOMAS RAINER FRIEDRICH,2,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR.,CASTAÑEDA,LUCIO,MIGUEL,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR.,BERNES,FLOURIOT,SYLVAIN JEAN,3,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA.,CABRERA,VIVAS,BLANCA MARTHA,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA.,REYES,Y ORTEGA,MARIA GRACIELA YASMI,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR.,GONZALEZ,OREJA,JOSE ANTONIO,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA.,MEZA,REYES,MARIA DEL SOCORRO ARACELI,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA.,SILVA,GOMEZ,ADRIANA BERENICE,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR.,SARTILLO,PISCIL,FERNANDO,2,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA.,QUINTERO,HERNANDEZ,VERONICA,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA.,TRUJILLO,HERNANDEZ,ANGELICA,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA.,MONTIEL,SMITH,MARIA CONCEPCION SARA,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR.,MENDOZA,MARTINEZ,ANGEL GABRIEL,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA.,MORAN,RAYA,CAROLINA,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA.,HERNANDEZ,LINARES,MARIA GUADALUPE,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA.,SOSA,RIVADENEYRA,MARTHA VIRGINIA,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA.,AMADOR,RAMIREZ,MARIA PATRICIA,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
M. EN C.,REYES,SANDOVAL,ARTURO,2,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA.,OREA,FLORES,MARIA LAURA ASUNCION,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA.,ROSAS,MURRIETA,NORA HILDA,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA.,MARTINEZ,CONTRERAS,REBECA DEBORA,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA.,ANDRES,HERNANDEZ,AGUSTINA ROSA,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA.,CERON,RIVERA,MARGARITA,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR.,CRUZ,GREGORIO,SILVANO,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR.,GALICIA,ISASMENDI,SALVADOR,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA.,MEZA,LEON,ROSA LUISA,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
M. EN C.,HERNANDEZ,TELLEZ,MARIA GUADALUPE SILVIA,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA.,FIGUEROA,CASTRO,DULCE MARIA,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA.,ROCHA,GRACIA,ROSA DEL CARMEN,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR.,TORRES,JACOME,JULIAN,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA.,MARIN,CEVADA,VIANEY,C,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA.,SANSINENEA,ROYANO,ESTIBALIZ,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA.,CAMARILLO,JIMENEZ,ELSA ADRIANA,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR.,SANDOVAL,RUIZ,CESAR ANTONIO,C,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA.,MERINO,MONTIEL,PENELOPE,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA.,SANCHEZ,GAYTAN,BRENDA LEONOR,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR.,PASTELIN,ROJAS,CESAR FELICIANO,C,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR.,PEREZ,AGUILAR,JOSE MANUEL,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA.,LOZANO,ZARAIN,PATRICIA,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA.,GUEVARA,FIORE,PALESTINA,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA.,CEPEDA,CORNEJO,VERONICA,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA.,MILFLORES,FLORES,LORENA,C,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR.,APARICIO,SOLANO,DAVID MIGUEL,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR.,TAPIA,LOPEZ,JESUS ANGEL,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA.,MORALES,LARA,LAURA,C,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR.,RAMIREZ,BRAVO,OSVALDO ERIC,C,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA.,PEREZ,PEREZ,ROSA EMILIA,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR.,CAMACHO,ABREGO,ISRAEL,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR.,GOMEZ,CALVARIO,VICTOR,C,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR.,JEREZANO,DOMINGUEZ,ALBERTO VINICIO,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA.,JIMENEZ,HERNANDEZ,JACQUELINE,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR.,VAZQUEZ,LIMA,HUGO,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA.,RIVAS,ARANCIBIA,SOMBRA PATRICIA,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA.,ROMERO,LOPEZ,ANABEL,C,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA.,CABALLERO,JIMENEZ,DOLORES JUDITH,C,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR.,ORNELAS,DAVILA,OMAR,C,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR.,SALDAÑA,VAZQUEZ,ROMEO ALBERTO,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR.,HERNANDEZ,ANZALDO,SAMUEL,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR.,ISLAS,NAVARRETE,ANGEL ADONAI,C,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA.,GORDILLO,GUERRA,PAOLA GUADALUPE,C,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR.,MOLINA,MARTINEZ,ARCANGEL,C,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA.,HANDAL,SILVA,ANABELLA,C,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA.,BACA,sin apellido Materno,BEATRIZ EUGENIA,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR.,FUENTES,RAMIREZ,LUIS ERNESTO,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR.,VAZQUEZ,CRUZ,CANDELARIO,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR.,ARAGON,GARCIA,AGUSTIN,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR.,TORRES,RAMIREZ,EDUARDO,2,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR.,REYES,LOPEZ,DELFINO,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR.,RIVERA,TAPIA,JOSE ANTONIO,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR.,MUÑOZ,ROJAS,JESUS,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR.,LOPEZ,OLGUIN,JESUS FRANCISCO,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR.,PEREZ,SATO,MARCOS,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR.,JIMENEZ,GARCIA,DANIEL,C,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR.,VILLARREAL,ESPINO BARROS,OSCAR AGUSTIN,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR.,MENDOZA,HERNANDEZ,JOSE CARLOS,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR.,AVILA SOSA,SANCHEZ,RAUL,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR.,VILLA,MANCERA,ABEL EDMUNDO,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR.,ROMERO,LOPEZ,ANGEL ALONSO,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR.,ROMERO,ARENAS,OMAR,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR.,BAEZ,ROGELIO,ANTONINO,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR.,RAMIREZ,MATA,ALBERTO,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR.,REYES,MATAMOROS,JENARO MELQUIADES,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR.,OCHOA,VELASCO,CARLOS ENRIQUE,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR.,LUNA,GUEVARA,JUAN JOSE,C,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DRA.,MORALES,GARCIA,YOLANDA ELIZABETH,C,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DRA.,CORONA,JIMENEZ,EDITH,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DRA.,HERNANDEZ,CARRANZA,PAOLA,C,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DRA.,PEREZ,TORRES,BETZABETH CECILIA,C,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DRA.,LOPEZ,REYES,LUCIA,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DRA.,REBOLLAR,PEREZ,GEORGETTE,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR.,REYNOSO,PALOMAR,ALEJANDRO RODOLFO,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR.,MENDEZ,PALACIOS,NESTOR,C,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DRA.,AVELINO,FLORES,MARIA DEL CARMEN GUADALUP,C,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DRA.,ANDRADE,HOYOS,PETRA,C,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DRA.,BATALLA,MAYORAL,JESSICA,C,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR.,MARTINEZ,MORENO,DAVID,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DRA.,CID,PEREZ,TERESA SOLEDAD,C,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR.,ZUÑIGA,SILVA,JOSE ROBERTO,C,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DRA.,LARA,CORTES,ESTRELLA,C,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DRA.,RIVERA,URBALEJO,AMERICA PAULINA,C,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DRA.,HERNANDEZ,DOMINGUEZ,CARMELA,C,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR.,RUEDA,LUNA,ROLANDO,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR.,ALONSO,HERRERO,JOSE ANTONIO,2,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área V: CIENCIAS SOCIALES
DR.,SANCHEZ,VAZQUEZ,RAFAEL,3,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área V: CIENCIAS SOCIALES
DR.,CARRILLO,HUERTA,MARIO MIGUEL,3,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área V: CIENCIAS SOCIALES
DR.,KENT,SERNA,ROLLIN LINSLEY,3,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área V: CIENCIAS SOCIALES
DR.,GRAJALES,Y PORRAS,AGUSTIN GUILLERMO JUAN CO,2,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área V: CIENCIAS SOCIALES
DRA.,MARRONI,sin apellido Materno,MARIA DA GLORIA,2,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área V: CIENCIAS SOCIALES
DR.,ARELLANES,JIMENEZ,PAULINO ERNESTO,2,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área V: CIENCIAS SOCIALES
DR.,FLORES,GONZALEZ,SERGIO,1,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área V: CIENCIAS SOCIALES
DR.,ESTAY,REYNO,JAIME EDUARDO,2,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área V: CIENCIAS SOCIALES
